,ID,SHORTCODE,LIKES,NUM_COMMENTS,DATE,WEEKDAY,CAPTION,IS_VIDEO,VIDEO_VIEW_COUNT,USERS_LIKED,TAGS,MENTIONS,HAS_COMMENTS
1501,816704012303836259,tVg_jcAaRj,999,147,2014-09-24 17:12:06,Wednesday,#PressPlay for a preview of #WETAtNight with @calvinharris! Follow the link in our bio for tickets to the party this Tuesday at #WetRepublic! ⬆️,True,0.0,karolmouran park_r_ ibilal91 ebony.lamb dj_razner amberlong.1 toninhomartins saucymanx _medell westendfashionblogger ,PressPlay WETAtNight WetRepublic ,calvinharris! ,True
1502,816124148567877293,tTdJbQAaat,838,10,2014-09-23 22:00:01,Tuesday,Hey @DannyAvila! Remember your first performance at #WetRepublic? We can't wait for his return on Sunday 10/5! #LetsGetWet,False,,_ashkan_e memelobejon underwearlikearainbow gricelysmm damiendurandt lynseymcmillan lady_shmitotski vrball_ nathanmoura__ merywinchu ,WetRepublic LetsGetWet ,DannyAvila! ,True
1503,816078852995524336,tTS2Sdgabw,1105,13,2014-09-23 20:30:02,Tuesday,#RememberWhen @YoMoxie joined in for the #AokisPlayhouse fun this summer with #WetRepublic? @SteveAoki returns to the pool on Saturday  10/4!,False,,laranha_ godo_omaque willem.____ victoria31redblue jointundeistee nessagomez1 koshertovar_89 eddydz209 ,RememberWhen AokisPlayhouse WetRepublic ,YoMoxie SteveAoki 10/4! ,True
1504,815988265021712232,tS-QD1gado,1067,10,2014-09-23 17:30:03,Tuesday,Because 4 bottles of champagne is just enough. #LetsGetWet #ChampagneShowers #Vegas,False,,slshirck ss_breakout camilochapuis juancaesco angelcastr0 mskatj74 5ohphoto shvh__ deebones88 ,LetsGetWet ChampagneShowers Vegas ,,True
1505,815459782138897492,tRGFnzAaRU,1529,12,2014-09-23 00:00:03,Tuesday,2014 was incredible with @nervomusic &amp; @steveaoki on the decks! Don't miss their final poolside performances of the year: #Nervo: 9/28 &amp; @SteveAoki 10/4! #WetRepublic #AokisPlayhouse,False,,abdelhamidghait97 oscabezas andonio__dettori oregonmusic tmvmusic lauragsantafe dipthakkar2755 cubanswede josee_diaz97 ,Nervo WetRepublic AokisPlayhouse ,nervomusic steveaoki SteveAoki ,True
1506,815331430824518939,tQo53UgaUb,1130,9,2014-09-22 19:45:02,Monday,Big smiles  bigger guns! #LetsGetWet #WetRepublic #Vegas,False,,mattbkny__ raulcabrera31 p_devs sebaspinoc juansinuhe maki_armendariz ayushhhgupta kislenkoandrey rodrigomgf carrilloangel22 ,LetsGetWet WetRepublic Vegas ,bigger ,True
1507,815263483535926963,tQZdGegaaz,1120,11,2014-09-22 17:30:02,Monday,These are the kind of moments we wait for all year long with @calvinharris! Catch him by the pool again 9/27 &amp; 9/30 before this season ends! #WetRepublic #Vegas #WETAtNight,False,,zorionr freddyalonso22 rhyaannn walteeeee laurraaa_ ddellaposta kari_onelove francofrancofranco jukaoliveira krystalskies.official ,WetRepublic Vegas WETAtNight ,calvinharris! ,True
1508,814729254834120008,tOf_DOgaVI,1176,115,2014-09-21 23:48:37,Sunday,#PressPlay to see what the party is like when @calvinharris arrives! #LetsGetWet,True,0.0,issakassim angelaxcarberry mathiaskorp hbalhamad sid12951 walteeeee japo_coste omarnlife zaidanarrasyid ,PressPlay LetsGetWet ,calvinharris ,True
1509,814683121659258014,tOVfuXAaSe,1372,25,2014-09-21 22:16:57,Sunday,It's a perfect day in #Vegas well spent at #WetRepublic! @calvinharris,False,,alegaona_ dnte_ jackan0ryy thomas__h_ mike_flex_ aefjost sam.poynton17 _robbertvandecorput_ brijraj_ravalji letrado1997 ,Vegas WetRepublic ,calvinharris ,True
1510,814674600360257468,tOTjuSAae8,1143,21,2014-09-21 22:00:02,Sunday,Welcome home @CalvinHarris! #WetRepublic #LetsGetWet #Vegas,False,,kle90 ed_poonjy davidnotter yankovmartin clairemcl89 officialrickkruger thomaaas.r iinsta_keevin_ lucyrebeccagrace doynecoyne ,WetRepublic LetsGetWet Vegas ,CalvinHarris! ,True
1511,814621758077380050,tOHixEgaXS,1082,20,2014-09-21 20:15:02,Sunday,Off to a great start today at #WetRepublic! #Vegas @CalvinHarris #PoolSeason,False,,a_s_e_r_g_e_e_v kayoscouto freddyalonso22 goosedlt guigolfernandes amandacaps haydn_dumont r3hab_ecuador party.station ,WetRepublic Vegas PoolSeason ,CalvinHarris ,True
1512,814523699989423422,tNxP1XAaU-,1108,12,2014-09-21 17:00:13,Sunday,Let the day begin! Today  @calvinharris joins us in the #booth for another #WetRepublic Sunday!,False,,bbushb lucas.o0902 ebony.lamb betobarreiro jmorris24 superduperdan_ khalidhousemusic martenmek boyrewind gil_duran ,booth WetRepublic ,@calvinharris ,True
1513,814002990015947836,tL62gaAaQ8,1391,157,2014-09-20 23:45:39,Saturday,Incredible last day of the season with @tiesto! #RepublicofTiesto #WetRepublic,True,0.0,nafiz_alvi ssalazarpulido _f48i0 pedronigre adrianuvillado handsomechiou jose_miguel89 ,RepublicofTiesto WetRepublic ,tiesto! ,True
1514,813949828907247261,tLuw6RAaad,1100,14,2014-09-20 22:00:02,Saturday,Shots in the DJ booth? We think so... #WetRepublic #Vegas @Tiesto,False,,kdoggg07 heitormellolucas bella.ditleff shitfaceliar giacomolaporta pdogg24 ghurbaq8 s.lo_caputo toninhomartins bodya__ilto ,WetRepublic Vegas ,Tiesto ,True
1515,813898883464799447,tLjLjoAaTX,1430,90,2014-09-20 20:18:49,Saturday,We're proud to hear resident DJ @tiesto's music at the @bellagio fountains in #Vegas! #PressPlay in preparation to his last #WetRepublic performance of the season today! #LetsGetWet Thank you @dzekoandtorres!,True,0.0,jaws9781 al_knapone94 phipsei jonnyoneill1 ed_poonjy pedrooconnor show_your_boobs gmoors_ shantelle_james_owens wilks7 ,Vegas PressPlay WetRepublic LetsGetWet ,tiesto's bellagio dzekoandtorres! ,True
