ID, SHORTCODE, LIKES, NUM_COMMENTS, DATE, CAPTION, IS_VIDEO, VIDEO_VIEW_COUNT, TAGS, MENTIONS, HAS_COMMENTS
1651149863998223015, BbqEA2ajHKn, 211, 4, 2017-11-18 16:47:03, Never a dull moment once you arrive at Oxford Social Club. Join us tonight featuring sounds by @DJBobbyFrench.  For Guest List Consideration  click the link in our bio!, False, N/A, , DJBobbyFrench. For click , true
1648975032297147889, BbiVg4jj03x, 226, 4, 2017-11-15 16:46:03, Kick off the weekend in style at Oxford Social Club. THU: @DJKaosSD FRI: @DJerock SAT: @DJBobbyFrench  For Guest List Consideration  click the link in our bio!, False, N/A, , DJKaosSD DJerock DJBobbyFrench For click , true
1645336484071154766, BbVaNCdDSRO, 144, 5, 2017-11-10 16:16:55, TGIF!! Join us tonight under the chandelier and let’s cheers to the weekend with sounds by @DJSpryte., False, N/A, , DJSpryte. , true
1639452781277182908, BbAgZ5ODXu8, 123, 3, 2017-11-02 14:27:03, We’re back at it tonight with @deejayal in the house at Oxford Social Club!  Click the link in our bio for guest list consideration. #OxfordNights, False, N/A, OxfordNights , deejayal Click , true
1637187219507384965, Ba4dRoZjBKF, 125, 1, 2017-10-30 11:27:25, The party continues TOMORROW night with our #CostumeContest at Oxford Social Club.  Dress up for a chance to WIN up to $10 000 in cash and prizes. Click the link in our bio for guest list &amp; VIP Reservations., True, 1517, CostumeContest , Dress , true
1630100680428342114, BafR-6lDcti, 174, 0, 2017-10-20 16:46:05, 1️⃣Party. 3️⃣ Venues. 1️⃣Ticket We invite you to experience the #HalloweenBall at Oxford Social Club  @LionfishSD  and @PoolHouseSD featuring special guests @MyFabolousLife &amp; @Bassjackers!  Your ticket gets you access into our multi-level party all night long with hosted cocktail hour including tray passed appetizers from 8-9PM. ✨Click the link in our bio for tickets &amp; VIP Reservations., False, N/A, HalloweenBall , @LionfishSD and PoolHouseSD MyFabolousLife Bassjackers! Your , false
1629392017467551838, Bacw2gxArBe, 96, 2, 2017-10-19 17:18:06, Raise your glass and let's cheers to the weekend at Oxford Social Club! Sounds by @DjKaos.  Click the link in our bio for guest list and VIP Reservations., False, N/A, , DjKaos. Click , true
1624965841277727883, BaNCdK9gLSL, 138, 1, 2017-10-13 14:44:05, Friday the 13th never looked better. Join us tonight at Oxford Social Club with @DJNeva!  Click the link in our bio for guest list consideration., False, N/A, , DJNeva! Click , true
1624210368442350965, BaKWrmDgz11, 181, 5, 2017-10-12 13:43:05, Meet us under the chandelier and let's kick off the weekend tonight with Deejay AL!, False, N/A, , , true
1619972662874935924, BZ7TI3MgRJ0, 227, 7, 2017-10-06 17:23:31, Celebrate the night at Oxford Social Club with sounds by @djmrbest! #OxfordNights  For guest list and VIP Reservations: TheOxfordSD.com, False, N/A, OxfordNights , djmrbest! For , true
1618633177331557107, BZ2ikyEgmLz, 96, 1, 2017-10-04 21:02:12, @djdecon kicks off the weekend with us tomorrow at #OxfordSocialClub!, False, N/A, OxfordSocialClub , djdecon , true
1614812464048901041, BZo92Figgux, 164, 6, 2017-09-29 14:31:08, We're all smiles on #Friday! Join us tonight with @djmikeattack at Oxford Social Club. . Join us for another weekend at @TheOxfordSD. Click the link in our bio for guest list consideration., False, N/A, Friday , djmikeattack TheOxfordSD. , true
1613499227323838358, BZkTP-iAS-W, 248, 5, 2017-09-27 19:01:58, It all kicks off tomorrow night at Oxford Social Club with @djschoenyofficial! Click the link in our bio for guest list consideration or VIP reservations✨🍾, False, N/A, , djschoenyofficial! , true
1610427059841045429, BZZYuDmgJO1, 97, 1, 2017-09-23 13:18:07, #Chamapagne is always the answer! Party the night away at Oxford Social Club tonight with sounds by @DJCobra.  For guest list consideration  click the link in our bio., False, N/A, Chamapagne , DJCobra. For click , true
1605429605689232426, BZHobhvAIwq, 122, 1, 2017-09-16 15:49:04, Saturday Night Fever., False, N/A, , , true
1603879923188167661, BZCIErcAvPt, 84, 0, 2017-09-14 12:30:07, Meet us under the #Chandelier tonight with @djdecon at Oxford Social Club! For guest list consideration  click the link in our bio!, False, N/A, Chandelier , djdecon click , false
1602521947089091258, BY9TThpAzq6, 151, 4, 2017-09-12 15:32:04, We know looks aren’t everything  but we have them just in case. #OxfordSocialClub, False, N/A, OxfordSocialClub , but , true
1599487419374291268, BYyhVVegslE, 239, 4, 2017-09-08 11:03:00, #Fridays feels from Oxford Social Club💋 . Join us tonight with @djneva🙌🏻 For guest list consideration click the link in our bio!, False, N/A, Fridays , djneva🙌🏻 , true
1598379946655493687, BYulhfIgi43, 242, 0, 2017-09-06 22:22:39, @DJKaosSD kicks off the weekend with us at Oxford Social Club!  For guest list consideration click the link in our bio!, False, N/A, , DJKaosSD For , false
1596688006364830742, BYok0g8gJwW, 104, 2, 2017-09-04 14:21:04, When Monday feels like Sunday., False, N/A, , , true
1595462271369361398, BYkOHuRgjf2, 153, 3, 2017-09-02 21:45:45, @poolhousesd x Veuve Clicquot . Join us on Sunday as we continue the holiday weekend with plenty of sunshine and #veuveclicquot all day long at The Pool House at #PendrySanDiego!, False, N/A, veuveclicquot PendrySanDiego , poolhousesd , true
1595327672396007786, BYjvhDNg8lq, 169, 1, 2017-09-02 17:18:20, Saturday Night. Let's see what trouble we can get into 😏#oxfordnights  Guestlist Link in Bio, False, N/A, , Guestlist , true
1594322244602165826, BYgK6JnA_pC, 223, 4, 2017-09-01 08:00:43, It's all in the detail✨, False, N/A, , , true
1593665195639648382, BYd1g1FATB-, 124, 0, 2017-08-31 10:15:17, Swinging into #LaborDayWeekend!  Join us tonight for our holiday weekend kick-off party with sounds by @CraigSmoove! #OxfordNights #GaslampQuarter #OxfordSocialClub, False, N/A, LaborDayWeekend OxfordNights GaslampQuarter OxfordSocialClub , Join CraigSmoove! , false
1589409044672579170, BYOtxrmgIZi, 180, 2, 2017-08-25 13:19:04, Walking into the weekend like..., False, N/A, , , true
1588647043142887062, BYMAhGYAaaW, 106, 1, 2017-08-24 12:05:07, We've got a lot on our hands tonight🍾 #oxfordnights THU: @DJSchoenyOfficial FRI: @Wellman SAT: @Stonerokk  For guest list consideraton or VIP Reservations  click the link in our bio!, False, N/A, oxfordnights , DJSchoenyOfficial Wellman Stonerokk For click , true
1588031870464158389, BYJ0pKLA-q1, 193, 4, 2017-08-23 15:42:52, 50 Shades of #Disco ✨, False, N/A, Disco , , true
1585012072280929307, BX_GBT9ArQb, 215, 12, 2017-08-19 11:43:04, A little party never hurt anybody. Join us TONIGHT with @DjSpider! For guest list consideration and VIP table reservations  click the link in our bio!, False, N/A, , DjSpider! click , true
1582963064768299368, BX30IVAFAFo, 310, 2, 2017-08-16 15:52:04, We don't ask for much. #OxfordNights, False, N/A, OxfordNights , , true
1581347929002709295, BXyE5AmgZEv, 155, 2, 2017-08-14 10:23:04, Come #ReliveAnotherDecade with us TONIGHT at Oxford Social Club featuring throwback tunes by @TheOfficial2LiveCrew! Join our guest list by clicking the link in our bio., False, N/A, ReliveAnotherDecade , TheOfficial2LiveCrew! , true
1578481655037982946, BXn5LO9Anji, 144, 1, 2017-08-10 11:28:18, Getting ready for another hot week of #OxfordNights starting TONIGHT with @DJDecon.  Guest list link in bio., False, N/A, OxfordNights , DJDecon. Guest , true
1573598379001399755, BXWi2NvgknL, 387, 8, 2017-08-03 17:46:06, The summer is just heating up at @theoxfordsd ! Join us tonight for sounds by @DJShadowman 🔥  For guest list consideration click the link in our bio., False, N/A, , theoxfordsd DJShadowman For , true
1572720073540461631, BXTbJMCgWQ_, 150, 0, 2017-08-02 12:41:04, Wash away your sins &amp; prepare to party with us this weekend! THU:@DJShadownman  FRI: @DJDynamiq SAT: @DJCobra  For guest list consideration  click the link in our bio!, False, N/A, , FRI: DJDynamiq DJCobra For click , false
1571197550592049500, BXOA9kDAMFc, 137, 2, 2017-07-31 10:16:05, Wake up and get ready for another VERY exciting week ahead 🙌 #oxfordnights  Guestlist Link in Bio, False, N/A, oxfordnights , Guestlist , true
1569075756888423826, BXGehZrAv2S, 230, 2, 2017-07-28 12:00:27, #FridayFeels when @WALE is at Oxford Social Club tonight!, False, N/A, FridayFeels , WALE , true
1568282508196540901, BXDqKHQg3Hl, 131, 4, 2017-07-27 09:44:25, Heading into the weekend at #OxfordSocialClub! (Swipe for the full lineup featuring @wale on Friday  July 28✨), False, N/A, OxfordSocialClub , wale July , true
1566241578031310546, BW8aGq7AObS, 135, 4, 2017-07-24 14:09:27, Straight from Miami Swim Week  @Wale joins us this Friday  July 28th for a very special night at @TheOxfordSD. Click the link in our bio for guestlist consideration., False, N/A, , @Wale July TheOxfordSD. , true
1563257707442574563, BWxzpo4gZTj, 238, 6, 2017-07-20 11:21:02, Does being good looking count as a #Superpower? Either way  join us tonight at Oxford Social Club with @djdecon!, True, 2710, Superpower , join djdecon! , true
