ID, SHORTCODE, LIKES, NUM_COMMENTS, DATE, CAPTION, IS_VIDEO, VIDEO_VIEW_COUNT, USERS_LIKED, TAGS, MENTIONS, HAS_COMMENTS
1695194090708949332, BeGigtCDFlU, 638, 29, 2018-01-18 11:15:04, When life gives you lemons  add tequila! Meet us under #pendrysandiego TONIGHT for sounds by @CraigSmoove at Oxford Social Club!  Click the link in our bio for guest list consideration., False, N/A, thaddeusadventurous spincovictoria 4evrmysonangelo gturtle sam_kleiman _ifyouseekay__ ssgoldtravel beautytherapysd jenfalcione mamaa_miaa1 , pendrysandiego , add CraigSmoove Click , true
1694589012704934995, BeEY7qOjrxT, 213, 1, 2018-01-17 15:12:54, We can't promise it will all be good clean fun. #OxfordNights kicks off this weekend with @craig_smoove., False, N/A, joannafravel young_arias gingin_mermaid miketoddsmith kironc braids_and_beards iqgraphics mar.sol.love nikongraham doublebaz , OxfordNights , craig_smoove. , true
1689228327925860657, BdxWDbejEkx, 120, 4, 2018-01-10 05:42:10, This Friday  January 12 we welcome @6lack to Oxford Social Club for a special live performance! Click the link in our bio for guest list., False, N/A, shvedig ulzg flightdj patrickfranka_art sillykrilly oh_hexxx_yeeah rideplaytv athena_elle1 detikyoga emily_salmon_lv , , January 6lack , true
1687049327178794248, Bdpmmy5DcUI, 100, 3, 2018-01-07 05:33:11, We’re excited to welcome @ApexSocialClub &amp; @CamdenCocktailLounge to @Palms Casino Resort Las Vegas! #camdencocktails #theviewhaschanged, True, 871, brittanyvallin djsd_ rideplaytv scottman6169 noacaronedoe constancemtm ilovenyc41 shvedig johannapartida louisloother , camdencocktails theviewhaschanged , ApexSocialClub CamdenCocktailLounge Palms , true
1685046237839973362, BdifKAkj1vy, 134, 1, 2018-01-04 11:13:06, Grab your girls  and let's kick off the weekend TONIGHT at Oxford Social Club!, False, N/A, anyaaadoll don_de_anda candido8637 sillykrilly nehalajaan awardboominthepromoter _sweet.dulce.soraya_ diamante_wildside hlockmoney chrisdolcesd , , and , true
1682485481097268402, BdZY6GAjgyy, 365, 6, 2017-12-31 22:25:20, Wishing you all the happiest New Year’s Eve! See you next year ♥️ - The ladies of @theoxfordsd, False, N/A, greg.rambo1 mas.porfavor xokarensita darasteinrichter jetpack70 crewvent spanossucks isaac_israel_619 jkelderman prince_styler , , theoxfordsd , true
1682031363778008892, BdXxp0TDdc8, 88, 0, 2017-12-31 07:23:05, Happy New Year’s Eve!, False, N/A, shawnkstyles miketoddsmith ulzg drinkmagicbullet cocktailwaitresses stevebosslife shvedig goldensolisairbrushtanning settielove ms.lizacevedo , , , false
1681549185441036978, BdWEBMuj3qy, 158, 1, 2017-12-30 15:25:05, "She was trouble  chaos really. But her smile  her smile dared me to fall in love with her." - Atticus . . . Join us tonight at Oxford Social Club with @DJMrBest and visit our website for guest list consideration TheOxfordSD.com, False, N/A, ballenger_maria iamjroc rob_scandal brittanyvallin rubep_photography rr_realestate_team fl.personal.trainer.stbarth ancheeese robertc194 raulmeza83 , , chaos her DJMrBest , true
1681350379910727678, BdVW0MpjAf-, 142, 2, 2017-12-30 08:50:05, Experience New Year's Eve at Oxford Social Club featuring sounds by @DJCobra and a special performance by the Stoli Elit Ballerinas.  For tickets &amp; VIP Reservations  click the link in our bio., False, N/A, randy_mendez1 arleneibarra mjaydonk _sweet.dulce.soraya_ libbeylazarus cannababekatie mcmichel92 goldensolisairbrushtanning dave_rukus sarah_renee94 , , DJCobra For click , true
1679176048170656918, BdNobgajmSW, 148, 3, 2017-12-27 08:50:05, If looks could kill  darling... The party returns to Oxford Social Club tomorrow night with @djkaossd in the house!  Click the link in our bio for guest list consideration., False, N/A, rubep_photography vanessabeard madeinam_erika money_aerial_media kaylynsenna oh_hexxx_yeeah brandond_lv drmartyyy stevebosslife sineadalice , , darling... djkaossd Click , true
1678697971745432241, BdL7ulDDiKx, 104, 0, 2017-12-26 17:00:14, "You can never be overdressed or overeducated." - Oscar Wilde  We re-open Thursday for New Year's Eve weekend at Oxford Social Club. Click the link in our bio for more information and NYE Reservations! #PendryNYE, False, N/A, awardboominthepromoter nickviciouss codyblake_sandiego nattcity goldensolisairbrushtanning jcontrer1986 withlovedesirie kvng_jay0421 joshlanglv djque , PendryNYE , We , false
1676339866533387494, BdDjjobjFzm, 108, 2, 2017-12-23 10:55:06, We're excited to welcome back the classically trained Stoli Ballerinas to Oxford Social Club on New Year's Eve!  Don't drop the ball  and book your ticket or VIP Reservation online by clicking the link in our bio., False, N/A, austinrott frannnnygirl cinemazay mamandmardj christinamisleh hlockmoney cocktailwaitresses kvng_jay0421 its_zef veggiepizzaqueen , , Don't and , true
1675581362684131181, BdA3F8rDXdt, 130, 8, 2017-12-22 09:48:05, We will be CLOSED for the holiday weekend. The party returns to Oxford Social Club on Decemeber 28th for NYE Weekend! Until then  #StaySophisticated San Diego., False, N/A, shvedig tatianna_almaz _bribrixoxoxo_ jasononsax daniel_guang hellaclassic c.h.r.i.s.t.yy cinemazay bpip115 samantha_ssmithh , StaySophisticated , , true
